Marca temporal,¿Qué edad tienes? (escribe tu respuesta en números),¿Cuál es tu sexo biológico?,Estado civil,"¿A qué estado de la República Mexicana perteneces? (sin abreviaturas) Ejemplo: Estado de México, Oaxaca, Ciudad de México, Puebla",1. El amor para mi es:,2. La primera palabra en la que pienso cuando escucho a alguien hablar sobre el amor es: ,3.. Pienso que el amor,4. Selecciona una de las opciones con la que estés de acuerdo,5. ¿Cuál crees que debería ser una de las principales características del amor?,6. Creo que el amor,7. Los componentes del amor son,8. Selecciona los tipos de amor conozcas,9. Creo que los seres humanos amamos porque,10. Un amor equilibrado debería ser o tener,"11. En cuanto al amor de pareja, prefiero que mi tipo de pareja sea:",12. Cuando amo yo suelo ser ,"13. El amor filial es igual, es decir, padre y madre aman de la misma forma ",14. El amor lo puede todo,15. Todo se perdona por amor,16. Existen las medias naranjas o almas gemelas,17. El amor no es igual a una relación de pareja
29/10/2021 23:35:25,21,Mujer,En una relación,Ciudad de México,"Un sentimiento que se puede demostrar con muchas acciones bonitas, es lo bonito",Feliz,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad y pasión,"Amor romántico, Amor fatuo, Ágape, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Sucede :),"Libertad, respeto, cariño, poder compartir",Monógama,Intensa,2,1,1,3,5
29/10/2021 23:37:05,18,Mujer,Soltero (a),Veracruz,Un conjunto de emociones ocasionadas por componentes neuronales ,Extraño,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Comprensión, comunicación, cariño y responsabilidad",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Manic o maníaco, Amor propio, Amor platónico",Necesitamos llenar los vacíos de la vida.,Responsabilidad afectiva,Inteligente,Diferente,5,1,1,1,2
29/10/2021 23:50:55,23,Mujer,Soltero (a),Veracruz ,Que dos personas creen un fuerte vínculo de cariño mediante conductas sanas y emocionalmente responsables ,Plenitud ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Que cohabite con la confianza y la libertad ,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Porque somos seres sociables pero complejos y necesitamos ese lazo para unirnos,"Responsabilidad, compromiso, tolerancia, libertad, comunicación. ","Que no sea intenso. Que sea relajado, que entienda que necesito tiempo para mí sola y él también, que esté conmigo porque le guste compartir su vida conmigo y no por miedo a estar solo. ",Muy comprometida,3,2,1,3,5
29/10/2021 23:56:33,18,Mujer,Soltero (a),Ciudad de México ,"El llevarte bien, sentir y compartir con una persona varios aspectos de la vida, como el sentirse comprendido, escuchado, ayudado, el reir, llorar, comer, platicar, disfrutar alguna actividad juntxs, etc... pero siempre respetando y alentando la individualidad e independencia del otro",Alegría ,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Llevarse chido,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Pragma o pragmático, Amor platónico","En primera instancia por factores biológicos, dejando de lado eso y llendonos al contexto actual, porque es una necesidad del alma, en verdad creo que amar es necesario para poder vivir, necesitamos encontrar amor en todo, en nosotros, en tender nuestras camas, en comer, en la compañia del otro",Comunicación y empatía (amor de pareja),Alto,Complaciente y empalagosa,3,1,1,3,1
30/10/2021 0:16:51,Veintidos,Mujer,Soltero (a),Ciudad de México,Un sentimiento de dar afecto a algo o alguien que estimas. Depositar tus deseos e ilusiones bajo un significado construido.,Tabú,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Dar sin esperar nada a cambio sin perder la dignidad.,Es una decisión basada en compromiso y tolerancia,"Atracción, pasión y deseo","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Pragma o pragmático, Amor platónico",Necesitamos pertenencia,Reciprocidad y compromiso,Solitaria,Intensa afectivamente,1,1,1,1,5
30/10/2021 0:22:05,25,Mujer,En una relación,CDMX,"Respeto, comunicación y lealtad",Romance,Es útil porque nos ayuda a mantener la especie,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Honestidad,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico",Es necesario para sobrevivir,Respeto y confianza ,"Alguien que se conozca lo suficiente para establecer límites, maduro para saber negociar y consciente de la importancia de llegar a acuerdos y establecer reglas","Entregada, sensible y respetuosa ",5,2,1,2,5
30/10/2021 0:34:01,33,Mujer,En una relación,Ciudad de México ,Compartir tu vida con alguien sin poseer ,Sano,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio significa admirar mis cualidades y mis logros,Confianza,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio",Porque así no nos sentimos tan solos ,Ser recíproco ,Leal y respetuoso ,"Entregada, doy lo mejor de mi ",1,3,1,1,5
30/10/2021 0:39:53,23,Mujer,Soltero (a),Estado de México,Un conjunto de valores que de comparten de manera recíproca con las personas.,Pareja ,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,La buena comunicación,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico","Somos seres naturalmente sociales, con cualidades subjetivas que permiten el vínculo con otros.",Todo por igual y dar por igual.,Natural,Atenta,4,3,1,1,5
30/10/2021 0:45:25,35,Hombre,Soltero (a),Ciudad de México ,Un sentimiento inexplicable ,Pareja,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Comprensión del otro ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Admiración, atracción, dependencia.","Amor romántico, Ágape, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico, Amor religioso ",Somos un reflejo del universo y el universo es amor ,La aceptación de que pueda amar a otras personas y hacer otras cosas.,"Tierna, infantil, inteligente. ","Posesivo,  vulnerable, entregado, tóxico…
",2,4,1,4,5
30/10/2021 0:54:47,18,Mujer,Soltero (a),San Luis Potosí,No lo sé,"Una creencia, cómo una religión, no digo que no exista, solo digo que hay gente en la que postra su fe en el amor","Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Estabilidad,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor fatuo, Ágape, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Manic o maníaco, Amor propio",Está en nuestra naturaleza,Respetuoso,Alguien que admire y que me complemente ,"No estoy segura de haber sentido un amor más allá del que se me inculcó (algo muy básico y ambiguo) algo muy genuino, no es igual por la otra persona ",3,5,3,5,2
30/10/2021 1:26:01,24,Mujer,Soltero (a),Ciudad de México,Afecto,Curiosidad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Amor platónico",Para poder conectarnos con el exterior,"Respeto al individuo que amamos, y a nosotros, por ejemplo, no tiene que ser recíproco para seguir amando, pero nunca debe lastimarte, no debes sobrepasar los límites de la otra persona, ni dañar los tuyos",Comunicativa (?),"Yo misma (puedo descubrir más de mi cuando amo a otra persona, veo reflejos de lo que me gusta y disgusta de mi persona)",1,3,2,1,5
30/10/2021 1:53:46,26,Hombre,En una relación,Ciudad de México,El amor es un ingrato que te eleva por un rato y te desploma porque si ♫♬♪,No pienso en palabras...,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,No responder a intereses ni necesidades,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Con todo respeto, creo que las 4 opciones anteriores son bastante estupidas","Amor romántico, Amor maternal, Amor propio, Amor platónico",sentimos amor...,equilibrio ,amorosa,amoroso,5,1,1,4,5
30/10/2021 2:11:54,19,Hombre,En una relación,Veracruz ,Un sentimiento agradable de conexión íntima con otro ser ,Relación ,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,La conexión ,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Ludus o lúdico, Amor maternal, Amor propio, Amor platónico",Somos seres sociales que necesitan conexión con sus congéneres ,Reciprocidad ,Compatible conmigo ,Intenso ,2,1,1,3,5
30/10/2021 4:19:10,20,Hombre,Soltero (a),Jalisco ,Lo que hay entre el raciocinio y el instinto. Un acto reflejo disfrazado de decisión y una decisión involuntaria. ,Felicidad ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio significa admirar mis cualidades y mis logros,"Debe ser puro, hacer crecer a la otra persona o a uno mismo y no ser motivo para lastimar a nadie. ",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Porque somos capaces de decidir entre hacer o no caso al instinto. ,"Avanzar junto a otra persona, juntos, pero no atados. ","Una persona leal, capaz de expresar su amor. Interesada en ella, en mi, y en ambos cómo un todo.
","Leal, feliz, nervioso, risueño, a veces demasiado entregado. ",3,2,5,3,5
30/10/2021 8:07:17,18,Hombre,En una relación,Ciudad de México,Una red de apoyo mutuo ,Confianza,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio significa admirar mis cualidades y mis logros,Comunicación,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Storge o amistoso, Ludus o lúdico, Amor maternal, Amor propio, Amor platónico","Es básico de nuestra especie tener vínculos, somos sociables por naturaleza",Apoyo mutuo pero poniendo como límite o prioridad tu bienestar e integridad,"Tranquila, que haya mucha comunicación, confianza y respeto",Poco expresivo / afectivo físicamente pero muy comprensivo,1,2,1,4,5
30/10/2021 8:52:55,24,Hombre,Soltero (a),Morelos,El fenómeno (xd) donde doy y recibo componentes de mi existencia y la ajena sin motivación particular,Dar,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Incondicionalidad,Es una decisión basada en compromiso y tolerancia,Compasión y comprensión ,"Amor romántico, Ágape, Amor fraternal, Eros o amor erótico, Ludus o lúdico, Amor maternal, Amor propio, Amor platónico",Es una respuesta cultural a la interacción social,Recíproco,Libre,Feliz,1,1,1,1,1
30/10/2021 8:57:16,20,Mujer,Soltero (a),Ciudad de México ,Respetar. Cuando se te eriza la piel y te dan ganas de sonreír. ,Ternura,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Respetar, admirar, reconocer que no necesariamente debe de ser mutuo. ",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Manic o maníaco, Amor propio",Hay procesos químicos en nuestro cuerpo que suceden cuando recibimos algún estímulo ,Estar en un punto donde no te afecta negativamente pero tampoco es indiferente ,"Monógama, con amor propio e ideales claros ","Como un terrón de azúcar, espontanea, y fiel a lo que siento ",4,2,2,2,4
30/10/2021 11:00:49,43,Hombre,Soltero (a),CDMX ,Una idea que nos inculcaron,Hueva,No tiene ninguna utilidad,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Honestidad ,Es una búsqueda de afecto,"Ideas, construcciones, prácticas ","Amor romántico, Amor fatuo, Ágape, Amor fraternal, Eros o amor erótico, Storge o amistoso, Ludus o lúdico, Amor maternal, Manic o maníaco, Amor propio, Amor platónico, Amor cortes.",Así nos enseñan,Igualitario ,Honesta,El mismo,2,1,1,1,5
30/10/2021 13:59:36,19,Mujer,En una relación,Tlaxcala,"Un sentimiento particular, que indirectamente nos hace sentir bien ",Atención,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto y atención,Es una búsqueda de afecto,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Amor maternal, Amor propio, Amor platónico","Si realmente lo supiéramos, no amaríamos de verdad",Racionalismo suficiente para no cegar más allá,"Cariñoso, atento y respetuoso","Atenta, respetuosa y responsable",2,2,1,3,5
30/10/2021 15:44:39,19 años,Mujer,Soltero (a),Estado de México,"Un sentimiento, el más bonito de todos",Seguridad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Libertad,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Somos seres vivos y tenemos esa capacidad,Confianza y acuerdos o tratos de pareja que deben ser respetados,"Respetuoso, leal y confiable",Cariñosa,2,3,1,1,3
30/10/2021 17:13:11,20,Hombre,Soltero (a),Estado de México ,Un sentimiento que te hace sentir bien  y produce hormonas que te hacen sentir aun mejor ,Novi@,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,El cariño ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Amor platónico",Es parte del ser humano ,"Comunicación, pasión, intimidad, amistad ",Muy amorosa ,"Muy amoroso, siento que a veces ostigante ",4,4,4,3,2
30/10/2021 17:31:54,27,Mujer,En una relación,Ciudad de México,Una conexión,Ser,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Compromiso,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Es necesario,Reciprocidad,Cariñosa,Dadivosa,5,2,2,3,5
30/10/2021 18:29:17,21,Mujer,Soltero (a),Estado de México,Se está con las personas con las que me relaciono 🧡✨,Conexión entre varios lazos,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Seguridad,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor compañero o sociable, Storge o amistoso, Ludus o lúdico, Amor maternal, Amor propio, Amor platónico",Estamos bien con uno y es capaz de transmitirlo,Apoyarse uno del otro si es que así se requiera,"No tengo espectativas previas, solo que sea y exprese como el sea demuestra lo que realmente siente",Muy protectora y algo cariñosa,3,3,3,3,4
30/10/2021 19:35:12,33,Hombre,Soltero (a),Estado de México,"Es una relación entre personas que buscan cuidarse y mejorar en los aspectos emocionales, profesionales y de convivencia como un grupo ",Difícil de mantener,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Confianza,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio",Búsqueda de compañía y de forma instintiva,Empatia,Abierta a la negociación,Egoista,2,1,1,1,5
30/10/2021 23:06:22,33,Mujer,En una relación,Estado de México,Complemento ,Cursi,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Sincero ,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Amor platónico",Es necesario,"Sincero, fuerte, tolerante, libre, apasionado, complementario ",Inteligente,Loca ,1,3,2,5,5
31/10/2021 1:06:01,18,Mujer,Soltero (a),Ciudad de México,Procurar algo,Abrazo,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fatuo, Ágape, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor propio, Amor platónico",Somos seres que nos relacionamos entre si,Torelante y honesto,De mente abierta,Muy permisiva,2,3,2,3,4
31/10/2021 8:41:34,23,Hombre,Soltero (a),Veracruz,Es cuando te quieres a ti mismo y amas a una persona tal cual es. ,Querer apreciar,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respetar,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable",Es la manera de demostrar afecto,Respeto y aprecio ,Afectuosa,Afectuoso y respetuoso,4,4,3,5,3
31/10/2021 10:08:35,49,Mujer,Divorciado (a),ESTADO DW MÉXICO ,Vínculo importante que se va construyendo,Vínculo ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Respeto, compromiso,empatía, arropo solidario",Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Storge o amistoso, Amor maternal, Amor propio",Así  lo decidimos,Compromiso mutuo,"Feliz, empatico, solidario, respetuoso, honesto",Pendeja. Jajajaja,1,2,1,2,5
31/10/2021 10:13:53,22,Hombre,Soltero (a),Ciudad de México,"Particular mente me gusta más pensar en el amor de la literatura que el de la ciencia,  aquella conexión entre seres que trasciende la vida ",Afecto,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio significa admirar mis cualidades y mis logros,La entrega ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio","Es natural en nosotros, tendemos a crear lazos ","Límites definidos, reglas claras y responsabilidad emocional ",Afectuosa ,Entregado y afectuoso ,4,5,2,4,2
31/10/2021 10:29:30,18,Hombre,En una relación,Ciudad de México ,"Un sentimiento de proteger, apoyar, y llenar de cariño a otra persona. Solo puedo ejercer el amor, más no tenerlo.",Mi novia,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Comprensión ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico","Somos un animal gregario, que afuerzas tiene que estar acompañado de más personas para lograr algo. Amamos por compartir muchas experiencias con otras personas, entonces nos encariñamos y amamos",Respetar las decisiones del otro,Fiel,El que manda jajaja,5,3,3,3,3
31/10/2021 10:34:56,25,Hombre,En una relación,Ciudad de Mexico,Todo y nada,Todo,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,El respeto,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Atracción, pasión y deseo","Amor romántico, Amor consumado, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio",Es nuestra naturaleza,Respuesta,Mujer,Intenso,4,2,2,2,3
31/10/2021 10:37:57,21,Mujer,En una relación,Estado de México,Un vínculo construido,Novio,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Mutuo, construcción y trabajo, compromiso",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Amor platónico",Debemos construir lazos y dependemos del grado de intimidad,"Compromiso, trabajo y comunicación de ambas partes",Alguien con quien puedo hablar de todo,Comprometida con la relación,1,1,1,4,5
31/10/2021 11:08:36,23,Mujer,Soltero (a),Estado de México,Una serie de sensaciones y emociones que se generan por algo o por alguien.,Felicidad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Que sea desinteresado.,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Compromiso, lealtad y confianza.","Amor romántico, Ágape, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico","Es parte de nuestra naturaleza, me parece imposible pensar que una persona no pueda armar algo en el mundo. ","Desinteresado y que sea un acto no egoísta, en el que ambas partes o todas las partes implicadas se muestren tan cual son para que se sientan aceptados y queridos tal cual son.","Fiel, cariñoso, leal, atento y que se preocupe por mi bienestar.","Muy entregada, cariñosa y empalagosa.",3,1,1,1,2
31/10/2021 11:18:04,27,Mujer,Soltero (a),Ciudad de México ,Sentirse a gusto con alguna persona ,Romanticismo ,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Genuino ,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Necesitamos ser acompañados ,Igualdad entre los participantes ,Comprensiva ,Detallista,5,2,1,1,5
31/10/2021 11:26:57,40,Mujer,Soltero (a),Ciudad de México,Compartir el camino de la vida en libertad,Pareja,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Aceptación, respeto, alegría",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Ágape, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Está en nuestra naturaleza,Comunicación efectiva,Consciente socialmente y de género,Poco adulta,3,2,1,3,5
31/10/2021 11:28:36,56,Mujer,En una relación,Ciudad de México,Cuidarse alimentarse bien ejercitarse,Corazón,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Reflejarse en uno mismo,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Comprensión y empatía ,"Amor fraternal, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Tenemos sentimientos,Amor a uno mismo,Honesta,Entrwgada,5,5,5,5,1
31/10/2021 13:10:31,22,Mujer,Soltero (a),Estado de México ,Un accionar ,Dios ,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,"La disposición a servir a la otra persona, actuar. ",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Ágape, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico","Somos sociales por naturaleza  y entre las relaciones que formamos buscamos vínculos que nos provean atención, cuidado y compañía, inherentemente respondemos a ello de la misma manera. Construimos círculos de cuidado mutuo (Recibir-> Proveer, para cuidar mi vínculo->) ","Aquel que logra un “equilibrio” mental, físico, espiritual y  emocional. ",En qué sentido va la pregunta?con respecto a cualidades físicas o al tipo de amor que espero de  mi pareja?,Intensa ,2,5,5,1,5
31/10/2021 13:21:32,29,Hombre,Soltero (a),Ciudad de México,La elección que hacemos sobre dar y ver por una persona sin esperar nada a cambio,Dar,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,El desprenderse de uno mismo y buscar la felicidad del prójimo,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico","Hace que vivamos más felices, nos llevemos mucho mejor entre nosotros y nuestra vida tenga más sentido",Dos personas que se comuniquen y estén de acuerdo en lo que quieren y en lo que no,Una persona respetuosa y que tenga una visión del futuro que compagine con la mía,Una persona entregada y cursi xD,4,2,5,3,5
31/10/2021 13:54:11,49,Mujer,Divorciado (a),Estado de México,"Un sentimiento, que se basa en respeto, confianza, ayuda. ",Mis hijas,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Compasivo,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio","Como seres humanos, tenemos la necesidad de querer, y que nos quieran.","Compromiso, respeto, tolerancia, ser individual aún estando en pareja.","Respetuoso, tolerante, amigable, cariñoso",Amo incondicionalmente.,1,1,1,1,5
31/10/2021 14:48:48,65,Hombre,En una relación,California (EEUU),Siempre estar con alguien,Felicidad,Nos da un sentido a nuestras vidas,El amor propio significa admirar mis cualidades y mis logros,Confianza con la pareja,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Amor compañero o sociable, Amor propio",Por querer estar con otra persona,Respeto mutuo,Comprensivo,Cariñoso,3,2,3,4,4
31/10/2021 16:23:33,51,Mujer,Soltero (a),Ciudad de Mexico,Todo lo bueno,Energia ,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Empatia,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Compasión, respeto, empatia","Amor romántico, Amor fraternal, Amor maternal, Amor propio, Amor platónico",Es lo que nos ayuda a crecer como seres humanos,Respeto,Honesto respetuoso compasivo generoso,Honesta y respetuosa,3,5,5,1,5
